Year-month,temp_mean_daily_min,temp_extremes_min,temp_mean_daily_max,mean_temp,max_temperature,mean_sunshine_hrs,wet_bulb_temperature,maximum_rainfall_in_a_day,total_rainfall,rh_extremes_minimum,mean_rh,no_of_rainy_days,Prob_rain
1997-09-01,26.0,24.1,32.2,28.8,33.8,3.2,25.6,24.3,31.1,43.0,77.0,3.0,0
1997-10-01,26.3,22.8,32.4,28.2,34.5,3.2,25.6,36.5,78.4,49.0,81.0,8.0,1
1997-11-01,25.7,23.5,32.0,27.8,33.7,5.4,25.4,53.6,158.3,50.0,82.8,13.0,1
1997-12-01,26.1,23.0,31.3,27.3,32.9,5.3,25.4,65.8,351.9,50.0,85.3,23.0,2
1998-01-01,26.2,23.5,31.8,28.0,33.6,7.4,25.7,79.7,268.8,53.0,83.2,13.0,1
1998-02-01,25.9,24.3,33.1,28.9,34.6,8.9,25.9,11.9,32.5,50.0,78.3,5.0,1
1998-03-01,25.6,24.4,34.1,29.5,36.0,7.6,26.3,20.9,58.8,47.0,77.8,7.0,1
1998-04-01,26.6,24.2,33.1,29.2,34.8,6.7,26.7,64.9,187.7,53.0,81.8,13.0,1
1998-05-01,26.0,24.5,33.1,29.4,34.8,5.9,26.9,83.7,370.8,53.0,82.3,18.0,2
1998-06-01,26.1,22.9,32.4,28.6,34.7,5.3,26.1,42.8,198.8,50.0,82.1,15.0,2
1998-07-01,26.2,22.7,31.5,28.1,33.6,5.1,25.6,55.8,259.2,51.0,81.8,18.0,2
1998-08-01,26.0,23.2,30.9,27.5,32.8,4.6,25.5,35.5,195.0,56.0,85.4,18.0,2
1998-09-01,26.0,22.7,31.1,27.9,33.1,4.5,25.8,52.0,258.2,47.0,84.1,17.0,2
1998-10-01,25.7,22.5,31.9,28.0,34.5,5.0,25.6,32.4,222.7,48.0,82.3,20.0,2
1998-11-01,26.1,23.4,31.7,27.9,34.1,4.6,25.4,57.5,107.2,49.0,81.9,11.0,1
1998-12-01,26.2,22.8,30.4,26.6,32.6,3.1,25.1,84.4,463.4,55.0,88.5,22.0,2
1999-01-01,26.3,22.6,30.4,26.6,32.8,3.9,25.1,52.5,193.9,60.0,88.3,19.0,2
1999-02-01,26.0,22.0,31.3,27.2,33.0,6.7,24.9,32.1,67.4,58.0,82.4,9.0,1
1999-03-01,25.5,22.0,31.5,27.1,33.0,4.3,25.5,52.4,181.4,56.0,87.5,16.0,2
1999-04-01,25.4,23.0,32.5,28.3,34.4,5.8,25.9,29.2,88.5,46.0,82.6,14.0,1
1999-05-01,26.0,23.7,31.7,28.0,34.2,5.7,25.9,42.8,157.1,52.0,84.4,13.0,1
1999-06-01,25.9,21.8,31.8,28.2,33.7,6.0,25.7,34.5,103.4,54.0,81.9,13.0,1
