5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),72_Onshore or offshore,75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),293_Original in-place oil equivalent (MMBOE),307_Recovery factor (ultimate oil) (%)
1P ,NORTH AMERICA,WESTERN CANADA,22.0,40.0,ONSHORE,154.0,2355.0,GAS DRIVE,JURASSIC,112.0,0.6,15.0,27.0,0.7,83.0,78.0,39.7
1P ,AFRICA,MATRUH-SHUSHAN,22.0,46.0,ONSHORE,180.0,2274.0,GAS DRIVE,CRETACEOUS,900.0,0.6,21.0,41.5,0.54,119.0,1000.0,34.6
1P ,LATIN AMERICA,MARACAIBO,638.0,13.0,ONSHORE,130.0,1050.0,GAS DRIVE,NEOGENE,1400.0,0.22,30.0,18.0,40.0,180.0,2630.0,30.0
1P ,LATIN AMERICA,MARACAIBO,22.0,13.0,ONSHORE,104.2322183960465,79.7974254134433,AQUIFER DRIVE,PALEOGENE,200.0,0.36,12.0,26.0,0.7,1200.0,1000.0,44.0
1P ,ASIA-PACIFIC,SUMATRA CENTRAL,10.0,40.0,ONSHORE,260.0,2170.858570211526,AQUIFER DRIVE,NEOGENE,650.0,0.65,21.0,42.0,1.05,100.0,97.0,40.0
1P ,ASIA-PACIFIC,AMADEUS,46.0,16.0,ONSHORE,146.0,1805.0,GAS DRIVE,ORDOVICIAN/CAMBRIAN,1050.0,0.46,8.0,49.0,0.36,850.0,498.0,5.5
1P ,AFRICA,NIGER DELTA,73.0,100.0,OFFSHORE,183.0,2330.0,GAS DRIVE,NEOGENE,200.0,0.6,27.0,32.0,0.57,650.0,2100.0,59.4
1P ,AFRICA,NIGER DELTA,22.0,100.0,OFFSHORE,183.0,2330.0,GAS DRIVE,NEOGENE,200.0,0.6,29.0,27.0,0.57,650.0,268.0,35.0
1P ,AFRICA,SIRT,104.0,494.0,ONSHORE,238.0,3970.0,AQUIFER DRIVE,CRETACEOUS,400.0,0.6,17.0,36.7,0.79,464.0,3000.0,50.0
1P ,NORTH AMERICA,SAN JOAQUIN,25000.0,2.0,ONSHORE,110.0,300.0,AQUIFER DRIVE,NEOGENE,380.0,0.6,33.0,12.0,600.0,20.0,4400.0,79.0
1P ,EUROPE,NORTH SEA NORTHERN,21.0,96.0,OFFSHORE,250.0,6500.0,AQUIFER DRIVE,JURASSIC,755.0,0.8,16.0,38.5,0.2,1813.0,620.0,55.6
1P ,ASIA-PACIFIC,SUMATRA CENTRAL,1300.0,24.0,ONSHORE,200.0,930.0,AQUIFER DRIVE,NEOGENE,600.0,0.6,25.0,36.0,3.5,35.0,8700.0,55.0
1P ,LATIN AMERICA,RECONCAVO,435.0,30.0,ONSHORE,160.0,2630.0,GAS DRIVE,CRETACEOUS,200.0,0.45,21.0,40.0,0.95,360.0,675.0,44.0
1P ,NORTH AMERICA,WESTERN CANADA,472.0,320.0,ONSHORE,142.0,2620.0,AQUIFER DRIVE,DEVONIAN,80.0,0.4,20.0,41.0,0.6,575.0,794.0,51.1
1P ,EUROPE,NORTHWEST GERMAN,27.0,0.0,ONSHORE-OFFSHORE,158.0,4622.447498595485,AQUIFER DRIVE,JURASSIC,260.0,0.6,19.0,19.0,5.0,500.0,750.0,36.0
1P ,ASIA-PACIFIC,COOPER,22.0,123.55,ONSHORE,104.2322183960465,79.7974254134433,AQUIFER DRIVE,CRETACEOUS/JURASSIC,200.0,0.6,19.0,49.91,0.7,500.0,1000.0,44.0
1P ,ASIA-PACIFIC,SURAT,38.0,64.0,ONSHORE,156.0,2517.0,AQUIFER DRIVE,JURASSIC,130.0,0.5,18.0,44.0,1.06,112.0,59.1,40.0
1P ,ASIA-PACIFIC,ASSAM,91.0,50.0,ONSHORE,204.0,4930.0,AQUIFER DRIVE,PALEOGENE,1476.0,0.5,18.0,35.0,0.3,500.0,448.0,35.0
1P ,NORTH AMERICA,GREATER GREEN RIVER,22.0,160.0,ONSHORE,210.0,5156.028618302582,AQUIFER DRIVE,JURASSIC/TRIASSIC,520.0,0.6,14.0,0.0,0.7,500.0,1000.0,44.0
1P ,MIDDLE EAST,SOUTH OMAN SALT,225.0,3.5,ONSHORE,122.0,1400.0,COMPACTION,PERMIAN/CARBONIFEROUS,160.0,0.63,25.0,16.0,2000.0,20.0,2352.0,50.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,1137.0,63.0,ONSHORE,180.0,3785.0,AQUIFER DRIVE,CRETACEOUS,1476.0,0.53,18.5,34.0,1.3,316.0,2578.0,28.0
1P ,EUROPE,NORTH SEA NORTHERN,43.0,160.0,OFFSHORE,230.0,6300.0,GAS DRIVE,JURASSIC,425.0,0.7,22.0,38.0,0.57,524.0,874.0,44.0
1P ,ASIA-PACIFIC,ASSAM,22.0,60.0,ONSHORE,187.0,3988.0,AQUIFER DRIVE,PALEOGENE,738.0,0.5,21.4,30.5,0.53,730.0,1552.0,36.0
1P ,MIDDLE EAST,MESOPOTAMIAN,5.0,0.0,ONSHORE,202.18001528305015,4157.0,AQUIFER DRIVE,CRETACEOUS,617.0,0.3,22.0,41.5,0.7,1400.0,117.0,40.0
1P ,MIDDLE EAST,MESOPOTAMIAN,5.0,0.0,ONSHORE,219.4214857490248,4157.0,AQUIFER DRIVE,CRETACEOUS,476.0,0.17,25.0,41.5,0.7,1400.0,4900.0,28.0
1P ,AFRICA,SIRT,18.0,1290.0,ONSHORE,284.0,6000.0,GAS DRIVE,CRETACEOUS,433.0,0.6,12.0,42.5,0.35,1250.0,1000.0,44.0
1P ,LATIN AMERICA,CAMPOS,40.0,140.0,OFFSHORE,221.0,4641.0,AQUIFER DRIVE,CRETACEOUS,200.0,0.5,26.0,28.0,1.57,713.0,730.0,59.0
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,22.0,0.0,OFFSHORE,150.0,2730.0,AQUIFER DRIVE,NEOGENE,328.08,0.6,21.0,31.0,3.0,220.0,593.0,79.0
1P ,EUROPE,NORTH SEA CENTRAL,35.0,0.0,OFFSHORE,230.0,3322.0,AQUIFER DRIVE,PALEOGENE,255.91,0.7,23.0,40.0,0.7,555.0,790.0,60.7
1P ,NORTH AMERICA,WILLISTON,112.0,80.0,ONSHORE,109.0,1910.0,GAS DRIVE,TRIASSIC/CARBONIFEROUS,120.0,0.2,13.0,36.5,7.7,121.0,110.0,35.4
1P ,ASIA-PACIFIC,NIIGATA,17.0,0.0,ONSHORE,350.0,8100.0,GAS DRIVE,NEOGENE,200.0,0.6,23.5,39.0,0.7,500.0,1000.0,77.8
1P ,MIDDLE EAST,SOUTH OMAN SALT,500.0,20.0,ONSHORE,123.0,1492.0,AQUIFER DRIVE,PERMIAN/CARBONIFEROUS,260.0,0.6,28.0,21.0,400.0,5.0,2705.0,23.3
1P ,MIDDLE EAST,SOUTH OMAN SALT,500.0,20.0,ONSHORE,123.0,1492.0,AQUIFER DRIVE,ORDOVICIAN/CAMBRIAN,1300.0,0.8,28.0,21.0,400.0,5.0,2705.0,23.3
1P ,EUROPE,NORTH SEA NORTHERN,112.0,160.0,OFFSHORE,215.0,6500.0,AQUIFER DRIVE,JURASSIC,300.0,0.7,20.0,36.0,0.95,310.0,2600.0,48.0
1P ,NORTH AMERICA,WESTERN CANADA,383.0,160.0,ONSHORE,120.0,2611.0,GAS DRIVE,DEVONIAN,100.0,0.3,20.0,41.1,0.89,365.0,828.0,44.4
1P ,EUROPE,MID-NORWAY SHELF,27.0,150.0,OFFSHORE,200.0,5950.0,GAS DRIVE,JURASSIC,330.0,0.85,14.0,40.0,0.35,1366.0,766.0,23.4
1P ,NORTH AMERICA,CHEROKEE,22.0,10.0,ONSHORE,120.0,1200.0,GAS DRIVE,CARBONIFEROUS,100.0,0.7,17.0,39.0,3.0,400.0,671.0,48.0
1P ,NORTH AMERICA,SAN JOAQUIN,220.0,15.0,ONSHORE,235.0,3990.0,GAS DRIVE,NEOGENE,1400.0,0.55,19.0,40.0,0.45,700.0,483.0,34.0
1P ,ASIA-PACIFIC,CAMBAY,292.0,20.0,ONSHORE,163.0,1493.0,AQUIFER DRIVE,PALEOGENE,330.0,0.6,25.0,21.0,65.0,500.0,512.0,28.4
1P ,AFRICA,GULF OF SUEZ,4.0,0.0,OFFSHORE,216.34484933468244,4600.0,GAS DRIVE,CENOZOIC/NEOGENE,200.0,0.6,20.0,39.0,0.7,1200.0,1000.0,44.0
1P ,AFRICA,GULF OF SUEZ,10.0,32.0,OFFSHORE,231.11270412352584,4150.0,AQUIFER DRIVE,CRETACEOUS/PALEOZOIC,200.0,0.6,23.0,29.0,1.2,279.0,1000.0,53.0
1P ,NORTH AMERICA,PERMIAN,3666.0,10.0,ONSHORE,83.0,1400.0,GAS DRIVE,PERMIAN,300.0,0.5,19.0,37.0,1.4,510.0,1000.0,40.0
1P ,ASIA-PACIFIC,SUMATRA SOUTH,27.0,90.0,ONSHORE,226.0,2251.0,GAS DRIVE,NEOGENE/PALEOGENE,1000.0,0.3,21.8,38.0,0.33,1088.0,61.0,31.0
1P ,EUROPE,NORTH SEA NORTHERN,51.0,350.0,OFFSHORE,245.0,7439.0,GAS DRIVE,JURASSIC,400.0,0.45,18.0,37.0,0.7,700.0,487.0,26.0
3P ,FORMER SOVIET UNION,SIBERIAN WESTERN,22.0,0.0,ONSHORE,136.0,2668.0,GAS DRIVE,CRETACEOUS,200.0,0.62,20.0,36.0,0.85,500.0,1000.0,32.0
3P ,FORMER SOVIET UNION,SIBERIAN WESTERN,22.0,0.0,ONSHORE,156.0,2915.0,GAS DRIVE,JURASSIC,200.0,0.41,18.0,36.0,1.0,500.0,1000.0,32.0
1P ,AFRICA,LOWER CONGO,70.0,160.0,OFFSHORE,140.0,1600.0,GAS DRIVE,CRETACEOUS,470.0,0.35,24.0,34.0,0.7,500.0,873.0,46.0
1P ,AFRICA,NIGER DELTA,17.0,80.0,ONSHORE,159.0,3570.0,AQUIFER DRIVE,NEOGENE,260.0,0.6,26.0,48.0,0.4,534.0,107.0,30.8
1P ,AFRICA,GULF OF SUEZ,22.0,0.0,OFFSHORE,250.0,5028.0,GAS DRIVE,CRETACEOUS,200.0,0.6,20.0,32.0,0.7,360.0,250.0,15.0
1P ,AFRICA,GULF OF SUEZ,22.0,27.0,OFFSHORE,265.0,5506.0,AQUIFER DRIVE,CRETACEOUS/PALEOZOIC,2300.0,0.2,18.0,27.0,1.01,279.0,1644.0,29.0
1P ,FORMER SOVIET UNION,NORTH SAKHALIN,19.0,247.0,OFFSHORE,98.6,1809.0,AQUIFER DRIVE,NEOGENE,452.76,0.6,23.0,37.0,0.7,500.0,296.9,43.8
1P ,AFRICA,NIGER DELTA,86.0,32.0,OFFSHORE,104.2322183960465,2707.0,AQUIFER DRIVE,NEOGENE,200.0,0.6,30.0,38.0,0.7,950.0,1000.0,64.0
1P ,FORMER SOVIET UNION,NORTH SAKHALIN,1882.0,2.0,ONSHORE,63.0,826.0,GAS DRIVE,NEOGENE,2030.0,0.6,27.0,18.0,500.0,500.0,1000.0,44.0
1P ,NORTH AMERICA,ANADARKO,360.0,17.5,ONSHORE,132.0,3621.622371361093,GAS DRIVE,ORDOVICIAN,200.0,0.6,19.0,39.0,8.0,795.0,162.0,70.0
1P ,NORTH AMERICA,ANADARKO,902.0,8.7,ONSHORE,132.0,2686.0,GAS DRIVE,ORDOVICIAN,200.0,0.6,22.0,39.0,8.0,795.0,1072.0,51.0
1P ,NORTH AMERICA,BIG HORN,208.0,15.0,ONSHORE,112.0,1565.0,GAS DRIVE,CARBONIFEROUS,90.0,0.62,14.0,21.0,6.5,200.0,1000.0,50.0
1P ,AFRICA,BREDASDORP,2.0,190.0,OFFSHORE,194.1438409687879,4294.223004418903,AQUIFER DRIVE,CRETACEOUS,115.0,0.85,18.0,42.0,0.7,500.0,47.0,49.0
2P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,2.5,ONSHORE,131.0,1126.0,GAS DRIVE,NEOGENE,940.0,0.4,32.0,11.0,5500.0,90.0,213000.0,12.0
1P ,LATIN AMERICA,PUTUMAYO,58.0,80.0,ONSHORE,184.22476516894807,3200.0,AQUIFER DRIVE,CRETACEOUS,240.0,0.67,12.0,35.0,0.7,750.0,679.0,35.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,10.0,110.0,ONSHORE,229.1436568183467,9280.0,GAS DRIVE,NEOGENE,300.0,0.6,13.0,35.0,0.7,1500.0,118.0,34.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,140.0,110.0,ONSHORE,136.8445643880756,1608.4352278175588,GAS DRIVE,NEOGENE,130.0,0.6,28.0,20.0,0.7,500.0,4200.0,44.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,18.0,110.0,ONSHORE,275.0,7650.0,GAS DRIVE,PALEOGENE/CRETACEOUS,800.0,0.65,6.0,37.0,0.7,500.0,650.0,44.0
1P ,EUROPE,NORTH SEA NORTHERN,116.0,0.0,OFFSHORE,212.0,4071.0,GAS DRIVE,JURASSIC,440.0,0.7,23.0,34.0,0.37,800.0,4309.0,68.3
1P ,NORTH AMERICA,FOSSIL,52.0,40.0,ONSHORE,164.0,4130.0,GAS DRIVE,JURASSIC/TRIASSIC,1100.0,0.41,14.1,105.0,0.19,2960.0,223.0,28.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,0.0,ONSHORE,104.2322183960465,79.7974254134433,GAS DRIVE,NEOGENE,900.0,0.22,31.0,16.0,0.7,500.0,107.0,46.0
2P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,0.0,ONSHORE,100.0,500.0,GAS DRIVE,NEOGENE,500.0,0.7,35.0,14.5,5000.0,500.0,80.0,51.0
2P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,0.0,ONSHORE,104.2322183960465,300.0,GAS DRIVE,NEOGENE,480.0,0.5,35.0,7.1,20000.0,500.0,300.0,33.0
1P ,NORTH AMERICA,WILLISTON,22.0,320.0,ONSHORE,212.5298201808979,6300.0,AQUIFER DRIVE,CARBONIFEROUS/DEVONIAN,40.0,0.6,5.0,42.0,0.7,400.0,1000.0,8.0
1P ,EUROPE,PERI-ADRIATIC,2500.0,9.0,ONSHORE,109.0,2517.0,GAS DRIVE,NEOGENE,394.0,0.7,27.0,12.0,600.0,146.0,1662.0,11.0
1P ,EUROPE,PERI-ADRIATIC,22.0,9.0,ONSHORE,109.0,2500.0,GAS DRIVE,NEOGENE,400.0,0.35,27.0,18.0,100.0,500.0,315.0,11.0
1P ,NORTH AMERICA,GREATER GREEN RIVER,22.0,0.0,ONSHORE,121.0,1790.0,GAS DRIVE,CRETACEOUS,70.0,0.6,20.0,42.0,0.52,600.0,155.0,46.0
2P ,NORTH AMERICA,WESTERN CANADA,22.0,8.0,ONSHORE,62.0,540.0,AQUIFER DRIVE,CRETACEOUS,100.0,0.96,28.0,8.5,60000.0,55.0,69000.0,44.0
1P ,NORTH AMERICA,WESTERN CANADA,189.0,80.0,ONSHORE,133.0,1366.0,GAS DRIVE,TRIASSIC,85.0,0.15,12.0,36.0,0.7,370.0,175.0,40.0
1P ,NORTH AMERICA,WESTERN CANADA,3517.0,80.0,ONSHORE,126.0,2690.0,GAS DRIVE,CRETACEOUS,50.0,0.4,13.9,37.0,1.2,539.0,7781.0,18.0
1P ,LATIN AMERICA,TALARA,306.0,0.0,OFFSHORE,125.15334601357462,1060.432996767027,GAS DRIVE,PALEOGENE,1300.0,0.45,9.5,36.0,0.7,500.0,1027.0,11.5
1P ,LATIN AMERICA,EASTERN VENEZUELA,185.0,3.7,ONSHORE,99.0,200.0,GAS DRIVE,NEOGENE,200.0,0.7,25.0,19.0,500.0,500.0,135.0,48.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,700.0,15.0,ONSHORE,205.0,6900.0,GAS DRIVE,NEOGENE,800.0,0.5,25.0,25.0,40.0,1500.0,979.0,14.0
1P ,ASIA-PACIFIC,SUMATRA CENTRAL,22.0,0.0,ONSHORE,236.0,1750.0,AQUIFER DRIVE,NEOGENE,1040.0,0.6,20.0,34.0,2.6,70.0,1000.0,55.07
1P ,FORMER SOVIET UNION,BALTIC,22.0,0.0,ONSHORE,183.0,3200.0,GAS DRIVE,CAMBRIAN,105.0,0.88,5.0,41.5,1.28,55.0,22.7,35.0
1P ,LATIN AMERICA,SERGIPE-ALAGOAS,106.0,0.0,ONSHORE,124.90463072583918,1048.774970356994,AQUIFER DRIVE,CRETACEOUS,6561.68,0.6,20.0,38.98,0.7,500.0,283.04,25.3
1P ,LATIN AMERICA,EASTERN VENEZUELA,216.0,0.0,ONSHORE,138.0,1454.0,AQUIFER DRIVE,NEOGENE,550.0,0.6,29.0,12.0,766.0,135.0,2445.0,17.5
1P ,EUROPE,NORTH SEA CENTRAL,70.0,85.0,OFFSHORE,175.0,3700.0,AQUIFER DRIVE,JURASSIC,360.0,0.7,24.0,37.0,0.47,430.0,1360.0,76.0
2P ,NORTH AMERICA,SANTA MARIA,52.0,80.0,OFFSHORE,235.0,3400.0,GAS DRIVE,NEOGENE,200.0,0.6,15.0,17.0,2.5,400.0,2350.0,8.9
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,22.0,65.0,ONSHORE,200.7155363498232,4602.257942714676,AQUIFER DRIVE,CRETACEOUS,75.0,0.4,20.0,32.0,1.7,380.0,672.0,55.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,1273.0,90.0,ONSHORE,154.0,2654.0,AQUIFER DRIVE,CRETACEOUS,200.0,0.44,20.0,34.0,1.0,380.0,2090.0,50.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,22.0,65.0,ONSHORE,196.90050719603863,4423.436162056081,AQUIFER DRIVE,CRETACEOUS,52.0,0.59,20.0,32.0,1.7,380.0,420.0,52.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,22.0,65.0,ONSHORE,154.0,2654.0,AQUIFER DRIVE,CRETACEOUS,69.0,0.45,22.0,32.0,1.7,380.0,599.0,47.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,41.0,250.0,OFFSHORE,195.0,6572.0,AQUIFER DRIVE,NEOGENE,400.0,0.5,31.0,32.8,0.38,1096.0,263.8,55.0
1P ,NORTH AMERICA,ANADARKO,22.0,40.0,ONSHORE,140.0,1630.0,AQUIFER DRIVE,CARBONIFEROUS,28.0,0.6,17.0,40.0,0.7,579.0,300.0,55.0
1P ,EUROPE,PRINOS-KAVALA,16.0,40.0,OFFSHORE,230.0,5735.0,GAS DRIVE,NEOGENE,200.0,0.6,18.0,29.0,9.0,767.0,270.0,44.0
1P ,EUROPE,PRINOS-KAVALA,22.0,40.0,OFFSHORE,236.0,5840.0,GAS DRIVE,NEOGENE,200.0,0.6,14.5,29.0,9.0,767.0,1000.0,44.0
1P ,EUROPE,PRINOS-KAVALA,22.0,40.0,OFFSHORE,243.0,6000.0,GAS DRIVE,NEOGENE,200.0,0.6,15.0,29.0,9.0,767.0,1000.0,44.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,520.0,60.0,ONSHORE,196.0,3582.0,AQUIFER DRIVE,CRETACEOUS,1300.0,0.44,19.0,31.0,11.0,344.0,20212.0,28.3
1P ,LATIN AMERICA,TALARA,106.0,0.0,ONSHORE-OFFSHORE,113.0,1800.0,GAS DRIVE,PALEOGENE,200.0,0.48,13.0,39.0,0.7,500.0,335.0,44.0
1P ,NORTH AMERICA,WESTERN CANADA,304.0,80.0,ONSHORE,97.0,889.0,GAS DRIVE,CRETACEOUS,70.0,0.15,25.4,34.0,4.1,140.0,585.0,11.5
1P ,NORTH AMERICA,NORTH SLOPE,2500.0,80.0,ONSHORE,230.0,4335.0,AQUIFER DRIVE,TRIASSIC,550.0,0.87,22.0,27.9,0.8,745.0,32700.0,52.0
1P ,ASIA-PACIFIC,BOHAI,937.0,15.0,ONSHORE,194.0,3465.0,GAS DRIVE,PALEOGENE,200.0,0.6,23.0,34.0,1.8,600.0,1053.0,34.0
1P ,ASIA-PACIFIC,BOHAI,66.0,15.0,ONSHORE,198.3034534009788,3419.0,GAS DRIVE,PALEOGENE,200.0,0.6,28.4,33.4,1.82,409.0,83.2,52.0
1P ,LATIN AMERICA,PUTUMAYO,19.0,400.0,ONSHORE,141.0,4737.0,AQUIFER DRIVE,CRETACEOUS,250.0,0.56,12.0,30.5,15.0,500.0,90.0,43.0
1P ,LATIN AMERICA,NEUQUEN,651.0,10.0,ONSHORE,148.24042566679975,1024.0,GAS DRIVE,CRETACEOUS,70.0,0.8,19.0,36.0,1.64,45.0,805.0,65.0
1P ,LATIN AMERICA,NEUQUEN,22.0,10.0,ONSHORE,136.53690074664138,750.0,GAS DRIVE,CRETACEOUS,72.0,0.6,18.0,36.6,0.7,500.0,1000.0,65.0
1P ,LATIN AMERICA,NEUQUEN,22.0,10.0,ONSHORE,91.4,427.0,GAS DRIVE,CRETACEOUS,295.0,0.6,20.0,32.3,75.0,30.0,1000.0,65.0
1P ,LATIN AMERICA,NEUQUEN,22.0,10.0,ONSHORE,140.57344772225858,910.0,GAS DRIVE,CRETACEOUS,410.0,0.6,17.0,28.0,12.0,500.0,1000.0,65.0
1P ,LATIN AMERICA,AUSTRAL,22.0,300.0,ONSHORE,194.0,2230.0,AQUIFER DRIVE,CRETACEOUS,278.0,0.76,23.0,52.0,0.7,842.0,1000.0,44.0
1P ,ASIA-PACIFIC,SUMATRA SOUTH,22.0,50.0,ONSHORE,170.93369585898907,2250.0,AQUIFER DRIVE,PALEOGENE,220.0,0.8,19.0,28.0,1.95,250.0,35.0,30.0
1P ,ASIA-PACIFIC,CAUVERY,7.0,836.0,OFFSHORE,265.0,5350.0,AQUIFER DRIVE,CRETACEOUS,230.0,0.6,13.0,49.0,0.27,1300.0,135.0,28.5
1P ,EUROPE,BROAD FOURTEENS,2.0,80.0,OFFSHORE,166.90945542902926,3017.6662282980324,AQUIFER DRIVE,CRETACEOUS,164.0,0.6,25.4,27.0,7.0,67.0,12.0,33.0
1P ,EUROPE,BROAD FOURTEENS,14.0,40.0,OFFSHORE,145.0,2207.0,AQUIFER DRIVE,CRETACEOUS,410.0,0.6,21.0,21.5,30.0,66.0,72.0,42.0
1P ,EUROPE,BROAD FOURTEENS,8.0,12.0,OFFSHORE,131.0,1970.0,AQUIFER DRIVE,CRETACEOUS,262.0,0.6,21.5,18.0,50.0,133.0,55.0,44.0
1P ,EUROPE,BROAD FOURTEENS,8.0,0.0,OFFSHORE,147.0,2287.0,AQUIFER DRIVE,CRETACEOUS,164.0,0.6,25.5,26.0,12.5,98.0,1000.0,44.0
1P ,AFRICA,GINDI,28.0,33.0,ONSHORE,208.2225292008186,4954.133059494491,AQUIFER DRIVE,CRETACEOUS,145.0,0.3,18.0,40.0,0.7,175.0,150.0,33.3
1P ,AFRICA,GINDI,28.0,33.0,ONSHORE,208.2225292008186,4954.133059494491,AQUIFER DRIVE,CRETACEOUS,350.0,0.8,12.7,40.0,0.7,175.0,150.0,33.3
1P ,ASIA-PACIFIC,BOHAI,742.0,1.2,ONSHORE,98.0,1233.0,AQUIFER DRIVE,PALEOGENE,300.0,0.64,25.4,15.0,2640.0,792.0,245.0,40.8
1P ,LATIN AMERICA,EASTERN VENEZUELA,676.0,22.0,ONSHORE,100.0,1000.0,AQUIFER DRIVE,NEOGENE,1600.0,0.35,20.0,18.0,230.0,200.0,4000.0,20.3
1P ,LATIN AMERICA,EASTERN VENEZUELA,29.0,0.0,ONSHORE,188.8397197904617,4390.0,GAS DRIVE,PALEOGENE/CRETACEOUS,3500.0,0.6,10.6,30.0,0.7,500.0,1598.0,4.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,225.0,40.0,ONSHORE,198.0,2500.0,AQUIFER DRIVE,CRETACEOUS,400.0,0.15,22.0,40.7,0.65,150.0,1000.0,44.0
1P ,AFRICA,GABON SOUTH,234.0,8.0,ONSHORE,110.0,1753.0,AQUIFER DRIVE,CRETACEOUS,400.0,0.8,25.0,34.0,3.4,309.0,1750.0,54.5
1P ,AFRICA,SIRT,82.0,0.0,ONSHORE,166.62640487890974,2374.0,GAS DRIVE,CRETACEOUS,230.0,0.36,17.0,42.5,3.56,935.0,1875.0,40.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,18.0,800.0,OFFSHORE,246.0,7603.0,GAS DRIVE,NEOGENE,200.0,0.5,28.0,30.0,0.7,5019.0,1000.0,32.7
1P ,AFRICA,GULF OF SUEZ,40.0,40.0,OFFSHORE,295.0,5875.0,AQUIFER DRIVE,PALEOZOIC,200.0,0.6,12.0,30.8,0.5,500.0,1000.0,55.0
1P ,ASIA-PACIFIC,MEKONG (CUU LONG),18.0,0.0,OFFSHORE,194.0,3100.0,GAS DRIVE,NEOGENE,2100.0,0.45,20.0,39.0,0.88,599.0,956.0,34.0
1P ,NORTH AMERICA,DOUGLAS CREEK ARCH,22.0,20.0,ONSHORE,160.0,2750.0,AQUIFER DRIVE,PERMIAN/CARBONIFEROUS,526.0,0.36,13.0,34.0,1.7,300.0,1900.0,49.0
1P ,ASIA-PACIFIC,SUMATRA NORTH,550.0,2.23,ONSHORE,147.2,760.0,AQUIFER DRIVE,NEOGENE,1968.5,0.36,25.0,47.0,2.33,500.0,1000.0,33.9
1P ,AFRICA,GULF OF SUEZ,22.0,6.0,OFFSHORE,255.0,5632.0,AQUIFER DRIVE,CRETACEOUS/JURASSIC/TRIASSIC/PERMIAN/CARBONIFEROUS,3000.0,0.6,12.0,23.0,5.0,312.0,700.0,44.0
1P ,MIDDLE EAST,THE GULF,53.0,60.0,ONSHORE,199.1156854143652,3850.0,AQUIFER DRIVE,CRETACEOUS,750.0,0.56,20.0,29.0,1.0,770.0,22600.0,38.9
1P ,MIDDLE EAST,THE GULF,22.0,60.0,ONSHORE,190.0,5050.0,AQUIFER DRIVE,CRETACEOUS,1380.0,0.75,18.0,34.4,0.7,1100.0,1000.0,39.0
1P ,NORTH AMERICA,POWDER RIVER,61.0,80.0,ONSHORE,200.0,3380.0,GAS DRIVE,PERMIAN,100.0,0.6,12.0,32.5,0.7,72.0,73.8,44.0
1P ,ASIA-PACIFIC,KRISHNA-GODAVARI,20.0,0.0,OFFSHORE,166.2079823265592,2605.0,GAS DRIVE,NEOGENE,3600.0,0.6,27.5,35.0,1.05,1120.0,480.0,57.0
1P ,AFRICA,RAZZAK-ALAMEIN,5.0,250.0,ONSHORE,174.0,2200.0,AQUIFER DRIVE,CRETACEOUS,700.0,0.31,23.0,38.0,2.3,500.0,44.0,29.4
1P ,AFRICA,RAZZAK-ALAMEIN,11.0,200.0,ONSHORE,180.0,2500.0,AQUIFER DRIVE,CRETACEOUS,700.0,0.31,23.0,37.5,0.5,80.0,240.0,27.4
1P ,NORTH AMERICA,UINTA,336.0,520.0,ONSHORE,149.0,1925.0,GAS DRIVE,PALEOGENE,200.0,0.1,14.0,30.0,7.0,292.0,747.0,44.0
1P ,AFRICA,OUED MYA-GHADAMES,51.0,240.0,ONSHORE,205.2689582430499,5750.0,GAS DRIVE,CAMBRIAN,1800.0,0.95,9.0,44.0,1.55,938.0,2875.0,32.0
1P ,AFRICA,BERKINE (GHADAMES),22.0,0.0,ONSHORE,223.10114290057828,4700.0,AQUIFER DRIVE,TRIASSIC,490.0,0.52,16.0,49.0,0.7,1450.0,228.0,44.0
1P ,MIDDLE EAST,SOUTH OMAN SALT,126.0,31.0,ONSHORE,147.76047038616235,2120.0962582826346,AQUIFER DRIVE,PERMIAN/CARBONIFEROUS,250.0,0.75,20.0,33.0,9.0,500.0,1013.0,44.0
