5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),72_Onshore or offshore,75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),293_Original in-place oil equivalent (MMBOE),307_Recovery factor (ultimate oil) (%)
1P ,FORMER SOVIET UNION,CARPATHIAN,600.0,44.0,ONSHORE,64.0,3597.0,AQUIFER DRIVE,PALEOGENE,200.0,0.6,10.0,44.0,1.3,610.0,943.0,14.0
1P ,ASIA-PACIFIC,SARAWAK,22.0,0.0,OFFSHORE,119.9230641091926,948.0,AQUIFER DRIVE,NEOGENE,200.0,0.35,23.0,20.0,10.0,200.0,800.0,34.4
1P ,AFRICA,NIGER DELTA,4.0,500.0,OFFSHORE,154.0737283083929,2416.017463049922,GAS DRIVE,NEOGENE,60.0,0.9,30.0,30.0,1.83,900.0,1468.0,47.0
1P ,AFRICA,NIGER DELTA,22.0,0.0,OFFSHORE,164.53429211715695,2906.335248726714,GAS DRIVE,NEOGENE,200.0,0.6,30.0,30.0,1.83,900.0,1000.0,44.0
1P ,FORMER SOVIET UNION,CARPATHIAN,1675.0,12.0,ONSHORE,129.0,3336.0,AQUIFER DRIVE,PALEOGENE/CRETACEOUS,200.0,0.68,13.0,33.0,4.0,500.0,734.0,39.0
1P ,LATIN AMERICA,MARACAIBO,601.0,90.0,ONSHORE,180.0,3450.0,GAS DRIVE,PALEOGENE,200.0,0.5,24.6,10.5,344.0,108.0,36840.0,6.7
3P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,0.0,ONSHORE,140.0,598.9574337771052,AQUIFER DRIVE,NEOGENE/PALEOGENE,1700.0,0.6,20.0,7.0,10000.0,70.0,489000.0,20.0
1P ,EUROPE,NORTH SEA NORTHERN,8.0,158.0,OFFSHORE,246.0,7057.0,AQUIFER DRIVE,JURASSIC,801.0,0.6,11.5,33.0,0.7,1415.0,244.0,29.0
1P ,EUROPE,NORTH SEA NORTHERN,47.0,100.0,OFFSHORE,253.0,7128.0,AQUIFER DRIVE,JURASSIC,801.0,0.75,11.5,35.0,0.27,1343.0,795.0,36.0
1P ,EUROPE,NORTH SEA NORTHERN,56.0,241.0,OFFSHORE,189.0,3118.0,AQUIFER DRIVE,JURASSIC,123.0,0.3,22.0,37.8,0.57,522.0,1036.0,36.0
