5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,AFRICA,GULF OF SUEZ,22.0,60.0,19801.0,OFFSHORE,174.0,6000.0,3034.0,GAS DRIVE,5796.0,NEOGENE,1000.0,0.55,16.5,28.0,365.5,0.7,613.0,31.3
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,93.0,36.0,11494.0,OFFSHORE,200.0,14400.0,6700.0,GAS DRIVE,14436.0,NEOGENE,3340.0,0.6,16.5,34.0,248.0,2.0,500.0,25.4
1P ,ASIA-PACIFIC,SUMATRA CENTRAL,217.0,46.0,30200.0,ONSHORE,135.0,650.0,340.0,GAS DRIVE,460.0,NEOGENE,120.0,0.6,32.0,30.0,650.0,10.0,18.3,30.8
1P ,LATIN AMERICA,UPPER MAGDALENA,19.0,230.0,9100.0,ONSHORE,205.0,8000.0,4400.0,AQUIFER DRIVE,7400.0,CRETACEOUS,200.0,0.5,8.0,34.0,68.6,1.24,500.0,32.0
1P ,EUROPE,NORTH SEA NORTHERN,35.0,0.0,120163.0,OFFSHORE,171.0,5561.0,2465.0,AQUIFER DRIVE,5315.0,PALEOGENE,200.0,0.85,33.0,22.0,945.0,3.5,300.0,48.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,6.0,1280.0,60930.0,OFFSHORE,190.0,16447.0,13324.0,AQUIFER DRIVE,15500.0,NEOGENE,100.0,0.8,27.0,38.5,1000.0,0.24,500.0,44.0
1P ,EUROPE,NORTH SEA CENTRAL,15.0,180.0,36409.0,OFFSHORE,207.0,7000.0,3145.0,AQUIFER DRIVE,6905.0,PALEOGENE,700.0,0.87,25.0,39.9,197.0,0.7,366.0,59.4
1P ,ASIA-PACIFIC,CAMBAY,113.0,22.0,4631.0,ONSHORE,158.0,3445.0,1508.0,AQUIFER DRIVE,2717.0,PALEOGENE,275.0,0.43,27.0,15.5,146.0,150.0,50.0,39.0
1P ,ASIA-PACIFIC,SARAWAK,105.0,0.0,62000.0,OFFSHORE,133.52179706058587,6000.0,1452.6872253084605,AQUIFER DRIVE,2500.0,NEOGENE,200.0,0.7,20.0,43.0,1200.0,6.0,160.0,29.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,400.0,50.0,65000.0,ONSHORE,137.0,2600.0,1220.0,AQUIFER DRIVE,2150.0,PALEOGENE,130.0,0.85,32.0,9.8,4022.0,684.0,96.0,19.0
1P ,ASIA-PACIFIC,SARAWAK,54.0,40.0,20000.0,OFFSHORE,182.0,7190.0,3175.0,GAS DRIVE,6865.0,NEOGENE,375.0,0.5,20.0,40.0,264.0,0.24,1228.0,31.0
1P ,ASIA-PACIFIC,GIPPSLAND,6.0,80.0,7706.0,OFFSHORE,157.8887574621774,6000.0,1693.0,AQUIFER DRIVE,4511.0,PALEOGENE,98.0,0.85,27.0,0.0,1000.0,0.74,20.0,44.0
1P ,LATIN AMERICA,CUYO,22.0,0.0,5000.0,ONSHORE,212.0,4760.5,4481.67,AQUIFER DRIVE,4232.28,TRIASSIC,393.7,0.62,20.0,27.49,424.79,8.5,126.89,19.4
