5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,ASIA-PACIFIC,BOMBAY OFFSHORE,500.0,160.0,23000.0,OFFSHORE,221.0,3117.0,1657.0,GAS DRIVE,2690.0,NEOGENE,130.0,0.5,17.0,42.0,2300.0,0.43,550.0,24.0
1P ,ASIA-PACIFIC,BOMBAY OFFSHORE,500.0,160.0,420259.0,OFFSHORE,241.0,4429.0,2229.0,GAS DRIVE,3986.0,NEOGENE,490.0,0.5,25.0,38.0,13097.0,0.45,578.0,40.0
1P ,AFRICA,PELAGIAN,70.0,250.0,83950.0,OFFSHORE,193.1470108,5000.0,3720.0,AQUIFER DRIVE,7750.0,PALEOGENE,850.0,0.4,14.0,26.0,5000.0,0.4,714.0,40.0
1P ,NORTH AMERICA,BEND ARCH,43.0,10.0,942.0,ONSHORE,156.2273738,5000.0,2050.0,GAS DRIVE,3100.0,CARBONIFEROUS,60.0,0.4,12.6,43.4,28.3,0.4,268.0,12.4
1P ,NORTH AMERICA,PERMIAN,57.0,0.0,4431.0,ONSHORE,206.0,9100.0,5600.0,AQUIFER DRIVE,9050.0,SILURIAN,145.0,0.4,9.0,41.3,76.0,0.4,32.0,50.0
1P ,MIDDLE EAST,RUB AL KHALI,32.0,250.0,700000.0,ONSHORE,250.0,7700.0,3956.0,GAS DRIVE,7500.0,CRETACEOUS,430.0,0.85,20.0,39.2,25000.0,0.28,790.0,46.0
1P ,MIDDLE EAST,RUB AL KHALI,51.0,168.0,167014.0,OFFSHORE,212.0,7700.0,3817.0,AQUIFER DRIVE,7385.0,JURASSIC,240.0,0.6,23.0,35.0,3870.0,0.5,730.0,59.3
1P ,MIDDLE EAST,ZAGROS,4.0,140.0,7800.0,ONSHORE,130.0,1875.0,1420.0,GAS DRIVE,1765.0,CRETACEOUS,300.0,0.4,3.0,29.8,2300.0,14.1,140.0,30.0
3P ,MIDDLE EAST,MESOPOTAMIAN,32.0,0.0,68000.0,ONSHORE,182.0,5000.0,5263.0,AQUIFER DRIVE,9040.0,NEOGENE/PALEOGENE,1250.0,0.4,18.0,19.0,2300.0,104.0,500.0,30.0
1P ,MIDDLE EAST,MESOPOTAMIAN,16.0,425.0,90000.0,ONSHORE,252.2799627,5000.0,7019.236204,GAS DRIVE,11926.0,CRETACEOUS,1155.0,0.4,20.0,26.0,4950.0,0.4,625.0,31.0
1P ,NORTH AMERICA,WILLISTON,105.0,80.0,11978.0,ONSHORE,200.0,5000.0,3800.0,GAS DRIVE,11500.0,SILURIAN,60.0,0.4,15.0,33.0,2300.0,1.26,350.0,23.3
1P ,NORTH AMERICA,WILLISTON,105.0,80.0,11978.0,ONSHORE,204.0,5000.0,3800.0,GAS DRIVE,5850.0,ORDOVICIAN,60.0,0.4,13.0,33.0,480.0,1.26,300.0,23.3
1P ,LATIN AMERICA,CHIAPAS-TABASCO,57.0,70.0,122000.0,ONSHORE,255.0,12434.0,6714.0,AQUIFER DRIVE,11810.0,CRETACEOUS,490.0,0.4,7.0,38.0,2069.0,4.6,2027.0,19.5
1P ,NORTH AMERICA,ANADARKO,117.0,30.0,1737.0,ONSHORE,112.0,5000.0,2401.596352,GAS DRIVE,875.0,CARBONIFEROUS,265.0,0.05,15.0,34.0,25.0,0.4,0.0,32.8
1P ,LATIN AMERICA,CAMPECHE,225.0,78.0,2232000.0,OFFSHORE,221.0,7594.5,3858.0,AQUIFER DRIVE,3280.0,CRETACEOUS,1000.0,0.4,10.0,21.0,40194.33,2.6,483.0,43.5
1P ,EUROPE,GULF OF VALENCIA,14.0,60.0,43700.0,OFFSHORE,302.0,8389.0,3731.0,AQUIFER DRIVE,8087.0,CRETACEOUS/JURASSIC,60.0,0.4,4.0,34.0,356.0,1.1,110.0,40.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,28.0,160.0,5039.0,ONSHORE,256.0,10250.0,4300.0,GAS DRIVE,9750.0,JURASSIC,75.0,0.4,12.0,46.0,37.0,0.4,1650.0,38.0
1P ,NORTH AMERICA,WILLISTON,42.0,80.0,5456.0,ONSHORE,284.0,5000.0,5055.0,AQUIFER DRIVE,9520.0,SILURIAN,200.0,0.4,12.0,51.0,2300.0,0.4,1804.0,22.0
1P ,NORTH AMERICA,WILLISTON,98.0,80.0,3462.0,ONSHORE,236.0,6400.0,4110.0,AQUIFER DRIVE,6339.0,CARBONIFEROUS,130.0,0.4,8.6,41.6,2300.0,2.39,949.0,30.0
1P ,NORTH AMERICA,MICHIGAN,77.0,40.0,6060.0,ONSHORE,120.0,2650.0,1453.0,AQUIFER DRIVE,2690.0,DEVONIAN,100.0,0.6,3.4,48.6,43.0,0.65,512.0,51.9
1P ,NORTH AMERICA,BIG HORN,32.0,120.0,14858.0,ONSHORE,110.0,5000.0,3331.0,GAS DRIVE,200.0,PERMIAN,65.0,0.32,8.0,27.0,229.8,2.75,380.0,30.2
1P ,NORTH AMERICA,MICHIGAN,193.0,10.0,68000.0,ONSHORE,143.4531794,5000.0,1918.200699,AQUIFER DRIVE,2367.0,DEVONIAN,100.0,1.0,10.0,44.0,2300.0,0.4,500.0,20.75
1P ,MIDDLE EAST,NORTH OMAN FORELAND,32.0,14.83,68000.0,ONSHORE,166.814695,5000.0,2501.9,AQUIFER DRIVE,11500.0,CRETACEOUS,131.23,0.63,30.0,36.95,2300.0,0.8,500.0,35.0
1P ,EUROPE,NORTH SEA CENTRAL,62.0,8.3,135526.4,OFFSHORE,163.0,6200.0,3800.0,GAS DRIVE,5700.0,PALEOGENE/CRETACEOUS,500.0,0.4,28.0,30.4,3233.0,0.58,640.0,27.5
1P ,MIDDLE EAST,MESOPOTAMIAN,23.0,0.0,160000.0,ONSHORE,284.0,5000.0,5367.0,GAS DRIVE,13287.0,CRETACEOUS,1600.0,0.56,15.0,35.0,3280.0,0.34,500.0,35.0
1P ,AFRICA,SIRT,164.0,0.0,212000.0,ONSHORE,168.0416576,5000.0,2490.0,AQUIFER DRIVE,4550.0,PALEOGENE/CRETACEOUS,860.0,0.4,20.0,34.0,5217.0,3.2,280.0,34.5
