Year,Make,Price,Category
2019,Chrysler,,Van
2019,Dodge,,SUV
2019,Dodge,,Sedan
2019,Chevrolet,,SUV
2019,Chevrolet,,SUV
2019,Dodge,,Coupe
2019,Chevrolet,,SUV
2019,Ford,,SUV
2019,FIAT,,Hatchback
2019,Chevrolet,,Sedan
2019,Chrysler,,Van
2019,FIAT,,Hatchback
2019,FIAT,,Hatchback
2019,Dodge,,SUV
2019,Ford,,Pickup
2019,Chevrolet,,SUV
2019,Dodge,,Van
2019,Chrysler,,Sedan
2019,FIAT,,Convertible
2019,Ford,,SUV
2019,Ford,,SUV
2019,Chevrolet,,SUV
2019,Ford,,SUV
2019,FIAT,,Hatchback
2019,Ford,,SUV
2019,FIAT,,Convertible
2019,Ford,,Pickup
2019,Ford,,Pickup
2019,FIAT,,SUV
2019,FIAT,,Convertible
2019,Ford,,SUV
2019,Ford,,Pickup
2019,Ford,,Pickup
2019,Ford,,Pickup
2019,Ford,,Hatchback
2019,Ford,,Pickup
2019,Ford,,Pickup
2019,Ford,,Pickup
2019,Ford,,SUV
2019,Ford,,Sedan
2019,Ford,,Van
2019,GMC,,Pickup
2019,Genesis,,Sedan
2019,Ford,,Sedan
2019,Ford,,Van
2019,Ford,,Van
2019,Ford,,Van
2019,Ford,,Pickup
2019,Ford,,Coupe
2019,Ford,,Pickup
2019,GMC,,Pickup
2019,Ford,,Van
2019,Ford,,Van
2019,Ford,,Van
2019,Freightliner,,Van
2019,Ford,,Sedan
2019,GMC,,Pickup
2019,GMC,,Pickup
2019,GMC,,SUV
2019,Honda,,SUV
2019,Genesis,,Sedan
2019,GMC,,SUV
2019,Honda,,Sedan
2019,GMC,,Pickup
2019,GMC,,Pickup
2019,Genesis,,Sedan
2019,GMC,,Pickup
2019,GMC,,Pickup
2019,GMC,,Pickup
2019,Honda,,Hatchback
2019,GMC,,SUV
2019,GMC,,SUV
2019,Honda,,Coupe
2019,GMC,,Pickup
2019,Honda,,Sedan
2019,Honda,,Sedan
2019,Honda,,Sedan
2019,Honda,,SUV
2019,Honda,,Sedan
2019,Honda,,Sedan
2019,Honda,,SUV
2019,Honda,,Pickup
2019,Honda,,SUV
2019,Honda,,Hatchback
2019,Honda,,Van
2019,Hyundai,,Sedan
2019,Hyundai,,Hatchback
2019,Hyundai,,Sedan
2019,Hyundai,,Sedan
2019,Hyundai,,Hatchback
2019,INFINITI,,Coupe
2019,Hyundai,,Sedan
2019,Hyundai,,SUV
2019,Hyundai,,SUV
2019,Hyundai,,SUV
2019,Hyundai,,Hatchback
2019,INFINITI,,Sedan
2019,Hyundai,,Hatchback
2019,Hyundai,,Sedan
2019,Hyundai,,SUV
2019,INFINITI,,Sedan
2019,INFINITI,,SUV
2019,Hyundai,,Coupe
2019,INFINITI,,SUV
2019,INFINITI,,SUV
2019,Hyundai,,SUV
2019,Jaguar,,SUV
2019,INFINITI,,SUV
2019,Jaguar,,Sedan
2019,Kia,,Van
